Index,Hogwarts House
0,Ravenclaw
1,Gryffindor
2,Slytherin
3,Hufflepuff
4,Ravenclaw
5,Hufflepuff
6,Hufflepuff
7,Gryffindor
8,Gryffindor
9,Hufflepuff
10,Ravenclaw
11,Slytherin
12,Gryffindor
13,Hufflepuff
14,Hufflepuff
15,Ravenclaw
16,Hufflepuff
17,Hufflepuff
18,Hufflepuff
19,Ravenclaw
20,Slytherin
21,Hufflepuff
22,Slytherin
23,Hufflepuff
24,Gryffindor
25,Hufflepuff
26,Slytherin
27,Ravenclaw
28,Ravenclaw
29,Slytherin
30,Slytherin
31,Ravenclaw
32,Hufflepuff
33,Hufflepuff
34,Ravenclaw
35,Hufflepuff
36,Hufflepuff
37,Slytherin
38,Hufflepuff
39,Ravenclaw
40,Ravenclaw
41,Hufflepuff
42,Gryffindor
43,Hufflepuff
44,Ravenclaw
45,Gryffindor
46,Hufflepuff
47,Slytherin
48,Hufflepuff
49,Ravenclaw
50,Ravenclaw
51,Hufflepuff
52,Ravenclaw
53,Gryffindor
54,Hufflepuff
55,Ravenclaw
56,Hufflepuff
57,Slytherin
58,Slytherin
59,Hufflepuff
60,Hufflepuff
61,Gryffindor
62,Ravenclaw
63,Ravenclaw
64,Ravenclaw
65,Gryffindor
66,Ravenclaw
67,Hufflepuff
68,Ravenclaw
69,Gryffindor
70,Gryffindor
71,Ravenclaw
72,Ravenclaw
73,Ravenclaw
74,Hufflepuff
75,Gryffindor
76,Hufflepuff
77,Hufflepuff
78,Hufflepuff
79,Gryffindor
80,Hufflepuff
81,Ravenclaw
82,Slytherin
83,Ravenclaw
84,Ravenclaw
85,Gryffindor
86,Hufflepuff
87,Hufflepuff
88,Ravenclaw
89,Slytherin
90,Hufflepuff
91,Hufflepuff
92,Ravenclaw
93,Hufflepuff
94,Hufflepuff
95,Slytherin
96,Hufflepuff
97,Gryffindor
98,Slytherin
99,Gryffindor
100,Slytherin
101,Ravenclaw
102,Ravenclaw
103,Hufflepuff
104,Gryffindor
105,Ravenclaw
106,Ravenclaw
107,Hufflepuff
108,Ravenclaw
109,Ravenclaw
110,Ravenclaw
111,Ravenclaw
112,Ravenclaw
113,Hufflepuff
114,Ravenclaw
115,Gryffindor
116,Gryffindor
117,Ravenclaw
118,Ravenclaw
119,Ravenclaw
120,Hufflepuff
121,Slytherin
122,Hufflepuff
123,Gryffindor
124,Ravenclaw
125,Ravenclaw
126,Ravenclaw
127,Ravenclaw
128,Gryffindor
129,Slytherin
130,Hufflepuff
131,Slytherin
132,Ravenclaw
133,Slytherin
134,Slytherin
135,Hufflepuff
136,Slytherin
137,Hufflepuff
138,Slytherin
139,Hufflepuff
140,Ravenclaw
141,Slytherin
142,Gryffindor
143,Ravenclaw
144,Hufflepuff
145,Gryffindor
146,Slytherin
147,Gryffindor
148,Hufflepuff
149,Hufflepuff
